condition,model,division,question_id,correctness,completeness,visible_reasoning_result_quality,instruction_following,practical_usefulness,question_total
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C7,4.5,5.0,4.0,5.0,4.0,22.5
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C8,3.5,3.0,2.0,2.0,2.0,12.5
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C9,4.0,3.5,2.0,2.0,2.0,13.5
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,general,G1,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,general,G10,5.0,5.0,5.0,3.0,4.5,22.5
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,general,G11,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,general,G12,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,general,G13,5.0,5.0,4.5,5.0,5.0,24.5
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,general,G14,4.5,4.5,4.5,4.5,4.5,22.5
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,general,G15,4.0,5.0,4.5,5.0,4.5,23.0
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,general,G16,4.5,4.5,4.5,5.0,4.0,22.5
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,general,G17,4.5,5.0,4.5,5.0,4.5,23.5
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,general,G18,2.5,3.5,2.5,3.0,2.5,14.0
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,general,G2,5.0,5.0,4.5,5.0,5.0,24.5
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,general,G3,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,general,G4,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,general,G5,5.0,5.0,4.5,4.5,5.0,24.0
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,general,G6,4.5,5.0,4.5,4.5,4.5,23.0
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,general,G7,4.0,3.5,4.0,4.5,4.0,20.0
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,general,G8,5.0,5.0,4.5,5.0,5.0,24.5
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,general,G9,4.0,4.5,4.0,5.0,3.5,21.0
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,cyber,C1,4.0,4.0,4.0,4.5,3.5,20.0
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,cyber,C10,4.5,4.5,4.5,5.0,4.0,22.5
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,cyber,C11,3.5,5.0,4.0,4.5,3.5,20.5
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,cyber,C12,4.0,5.0,4.0,5.0,4.0,22.0
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,cyber,C13,3.5,4.5,4.0,5.0,3.0,20.0
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,cyber,C14,4.5,4.5,4.5,5.0,5.0,23.5
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,cyber,C2,4.5,4.5,4.5,5.0,4.5,23.0
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,cyber,C3,4.0,4.5,4.0,4.5,4.0,21.0
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,cyber,C4,4.5,5.0,4.5,5.0,4.5,23.5
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,cyber,C5,4.0,5.0,4.0,4.5,4.0,21.5
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,cyber,C6,3.0,4.0,3.0,5.0,3.0,18.0
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,cyber,C7,4.0,4.5,4.0,5.0,3.5,21.0
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,cyber,C8,5.0,5.0,4.5,5.0,4.5,24.0
formal-c,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,cyber,C9,4.0,2.5,2.0,1.0,1.5,11.0
formal-c,Nex-N2-mini-Q4_K_M,general,G1,5.0,5.0,4.0,5.0,4.5,23.5
formal-c,Nex-N2-mini-Q4_K_M,general,G10,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Nex-N2-mini-Q4_K_M,general,G11,3.5,4.0,3.5,1.5,4.0,16.5
formal-c,Nex-N2-mini-Q4_K_M,general,G12,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Nex-N2-mini-Q4_K_M,general,G13,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Nex-N2-mini-Q4_K_M,general,G14,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Nex-N2-mini-Q4_K_M,general,G15,3.5,5.0,4.0,5.0,4.0,21.5
formal-c,Nex-N2-mini-Q4_K_M,general,G16,4.0,5.0,4.5,5.0,4.5,23.0
formal-c,Nex-N2-mini-Q4_K_M,general,G17,4.5,5.0,5.0,5.0,4.5,24.0
formal-c,Nex-N2-mini-Q4_K_M,general,G18,3.5,4.5,3.5,4.0,3.0,18.5
formal-c,Nex-N2-mini-Q4_K_M,general,G2,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Nex-N2-mini-Q4_K_M,general,G3,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Nex-N2-mini-Q4_K_M,general,G4,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Nex-N2-mini-Q4_K_M,general,G5,4.0,4.0,4.0,4.0,3.5,19.5
formal-c,Nex-N2-mini-Q4_K_M,general,G6,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Nex-N2-mini-Q4_K_M,general,G7,5.0,5.0,4.5,5.0,5.0,24.5
formal-c,Nex-N2-mini-Q4_K_M,general,G8,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Nex-N2-mini-Q4_K_M,general,G9,4.5,5.0,4.0,5.0,4.0,22.5
formal-c,Nex-N2-mini-Q4_K_M,cyber,C1,4.5,5.0,4.5,5.0,4.5,23.5
formal-c,Nex-N2-mini-Q4_K_M,cyber,C10,4.0,4.5,4.0,4.0,3.5,20.0
formal-c,Nex-N2-mini-Q4_K_M,cyber,C11,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Nex-N2-mini-Q4_K_M,cyber,C12,5.0,5.0,4.5,5.0,5.0,24.5
formal-c,Nex-N2-mini-Q4_K_M,cyber,C13,3.5,5.0,4.0,5.0,3.0,20.5
formal-c,Nex-N2-mini-Q4_K_M,cyber,C14,5.0,5.0,5.0,5.0,4.5,24.5
formal-c,Nex-N2-mini-Q4_K_M,cyber,C2,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Nex-N2-mini-Q4_K_M,cyber,C3,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Nex-N2-mini-Q4_K_M,cyber,C4,5.0,5.0,4.5,5.0,5.0,24.5
formal-c,Nex-N2-mini-Q4_K_M,cyber,C5,4.0,5.0,4.5,5.0,3.5,22.0
formal-c,Nex-N2-mini-Q4_K_M,cyber,C6,4.5,4.5,4.0,5.0,5.0,23.0
formal-c,Nex-N2-mini-Q4_K_M,cyber,C7,4.5,5.0,4.5,5.0,5.0,24.0
formal-c,Nex-N2-mini-Q4_K_M,cyber,C8,5.0,5.0,4.5,5.0,4.5,24.0
formal-c,Nex-N2-mini-Q4_K_M,cyber,C9,4.0,5.0,4.0,5.0,4.5,22.5
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,general,G1,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,general,G10,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,general,G11,5.0,5.0,4.5,0.5,3.5,18.5
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,general,G12,5.0,5.0,4.5,3.5,5.0,23.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,general,G13,4.0,3.0,3.5,3.5,4.0,18.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,general,G14,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,general,G15,4.0,5.0,4.5,5.0,4.5,23.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,general,G16,2.0,4.5,3.0,4.5,2.5,16.5
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,general,G17,4.5,5.0,4.5,5.0,4.5,23.5
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,general,G18,3.5,4.5,4.0,4.0,3.0,19.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,general,G2,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,general,G3,4.5,5.0,4.5,1.5,3.5,19.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,general,G4,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,general,G5,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,general,G6,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,general,G7,5.0,4.5,4.5,5.0,4.5,23.5
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,general,G8,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,general,G9,4.0,5.0,4.0,4.5,3.5,21.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,cyber,C1,4.5,4.5,4.5,5.0,4.5,23.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,cyber,C10,5.0,5.0,5.0,5.0,4.5,24.5
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,cyber,C11,3.0,5.0,3.5,4.5,3.0,19.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,cyber,C12,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,cyber,C13,3.5,5.0,4.0,5.0,3.0,20.5
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,cyber,C14,4.5,5.0,5.0,5.0,4.5,24.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,cyber,C2,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,cyber,C3,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,cyber,C4,5.0,5.0,4.5,5.0,5.0,24.5
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,cyber,C5,4.5,5.0,4.5,5.0,4.0,23.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,cyber,C6,4.5,5.0,4.5,5.0,5.0,24.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,cyber,C7,4.5,5.0,5.0,5.0,4.5,24.0
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,cyber,C8,5.0,5.0,5.0,5.0,4.5,24.5
formal-c,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,cyber,C9,2.0,3.0,3.0,4.0,2.5,14.5
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,general,G1,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,general,G10,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,general,G11,5.0,5.0,4.5,5.0,5.0,24.5
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,general,G12,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,general,G13,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,general,G14,5.0,5.0,4.5,5.0,4.5,24.0
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,general,G15,4.0,5.0,4.5,5.0,4.5,23.0
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,general,G16,3.0,4.0,3.5,3.5,3.5,17.5
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,general,G17,3.5,5.0,3.5,4.5,3.5,20.0
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,general,G18,1.5,3.0,1.5,2.0,1.0,9.0
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,general,G2,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,general,G3,4.5,4.0,2.0,0.0,0.5,11.0
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,general,G4,4.5,4.5,2.0,1.0,1.0,13.0
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,general,G5,1.0,3.0,2.0,4.0,1.0,11.0
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,general,G6,5.0,5.0,4.5,5.0,5.0,24.5
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,general,G7,4.0,4.0,4.0,5.0,4.0,21.0
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,general,G8,5.0,5.0,4.5,5.0,5.0,24.5
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,general,G9,4.0,4.5,4.0,4.5,3.5,20.5
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,cyber,C1,3.5,4.5,4.0,4.5,3.5,20.0
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,cyber,C10,4.5,5.0,4.5,5.0,4.5,23.5
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,cyber,C11,4.5,5.0,4.5,5.0,4.5,23.5
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,cyber,C12,3.5,4.5,3.5,4.5,3.5,19.5
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,cyber,C13,2.5,4.5,3.0,3.5,2.5,16.0
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,cyber,C14,4.5,5.0,4.5,4.5,4.0,22.5
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,cyber,C2,2.0,2.0,1.0,1.0,1.0,7.0
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,cyber,C3,3.0,3.5,3.0,4.0,2.0,15.5
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,cyber,C4,3.5,4.5,3.5,5.0,3.5,20.0
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,cyber,C5,3.0,5.0,3.5,4.5,2.5,18.5
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,cyber,C6,3.0,4.5,3.5,5.0,2.5,18.5
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,cyber,C7,4.0,5.0,4.0,5.0,4.0,22.0
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,cyber,C8,4.5,5.0,3.5,5.0,4.5,22.5
formal-c,Qwen3.8-9B-abliterated-25-Q4_K_M,cyber,C9,3.0,4.0,3.5,4.0,3.0,17.5
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,general,G1,5.0,5.0,4.5,5.0,5.0,24.5
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,general,G10,5.0,5.0,5.0,3.0,4.5,22.5
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,general,G11,4.0,4.0,3.5,1.0,4.5,17.0
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,general,G12,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,general,G13,3.0,3.0,3.0,2.0,3.0,14.0
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,general,G14,4.5,4.5,4.0,4.5,4.0,21.5
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,general,G15,3.5,5.0,4.5,5.0,4.5,22.5
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,general,G16,3.0,4.0,3.5,4.5,3.0,18.0
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,general,G17,2.5,3.5,2.5,3.0,2.0,13.5
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,general,G18,1.5,2.5,1.5,2.0,0.5,8.0
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,general,G2,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,general,G3,5.0,5.0,4.0,2.0,4.0,20.0
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,general,G4,2.0,1.5,1.0,0.5,0.5,5.5
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,general,G5,1.5,4.0,2.0,4.5,1.0,13.0
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,general,G6,4.5,3.0,3.5,3.0,4.0,18.0
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,general,G7,2.5,3.5,2.5,4.0,2.5,15.0
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,general,G8,5.0,5.0,4.5,5.0,5.0,24.5
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,general,G9,2.5,3.0,2.0,3.0,1.5,12.0
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,cyber,C1,2.0,2.0,1.0,2.0,2.0,9.0
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,cyber,C10,4.5,5.0,4.5,5.0,4.5,23.5
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,cyber,C11,4.5,5.0,4.5,5.0,4.5,23.5
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,cyber,C12,4.0,4.5,4.0,4.5,4.0,21.0
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,cyber,C13,3.0,4.0,3.0,2.5,2.0,14.5
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,cyber,C14,3.0,4.0,3.0,4.0,2.0,16.0
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,cyber,C2,4.0,4.5,4.0,5.0,4.0,21.5
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,cyber,C3,3.5,4.0,3.5,4.5,3.5,19.0
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,cyber,C4,4.0,4.5,4.0,5.0,4.0,21.5
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,cyber,C5,3.5,5.0,4.0,4.5,3.5,20.5
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,cyber,C6,3.5,4.5,3.5,5.0,2.5,19.0
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,cyber,C7,2.0,3.0,2.0,4.0,1.5,12.5
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,cyber,C8,5.0,5.0,4.5,5.0,4.5,24.0
formal-c,RavenX-CyberAgent-35B-v5.1-Q4_K_M,cyber,C9,1.0,2.5,2.0,4.0,1.5,11.0
