original_tag,division,question_id,has_final,prompt_tokens,completion_tokens,total_tokens,near_context_limit,near_generation_cap,loop_candidate,clean_final,source
B,general,G18,no,104,8088,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
B,cyber,C1,yes,106,1877,1983,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,cyber,C2,yes,151,1237,1388,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,cyber,C3,yes,113,2211,2324,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,cyber,C4,yes,117,1420,1537,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,cyber,C5,yes,112,2381,2493,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,cyber,C6,yes,273,1877,2150,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,cyber,C7,no,119,8073,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
B,cyber,C8,no,100,8092,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
B,cyber,C9,no,99,8093,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
B,cyber,C10,yes,111,3152,3263,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,cyber,C11,yes,74,1764,1838,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,cyber,C12,yes,102,1608,1710,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,cyber,C13,yes,76,3473,3549,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,cyber,C14,yes,81,1987,2068,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,general,G1,yes,85,1268,1353,no,D-NOT-COMPUTABLE,no,yes,formal-d-supplement
B,general,G8,yes,77,493,570,no,D-NOT-COMPUTABLE,no,yes,formal-d-supplement
B,general,G10,yes,110,1177,1287,no,D-NOT-COMPUTABLE,no,yes,formal-d-supplement
C,general,G2,yes,93,2042,2135,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,general,G3,no,116,8076,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
C,general,G4,yes,146,8046,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
C,general,G5,yes,125,2911,3036,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,general,G6,yes,84,3534,3618,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,general,G7,yes,155,1879,2034,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,general,G9,no,109,8083,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
C,general,G11,no,95,8097,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
C,general,G12,no,86,8106,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
C,general,G13,no,83,8109,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
C,general,G14,yes,76,6032,6108,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,general,G15,yes,99,1229,1328,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,general,G16,yes,87,1576,1663,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,general,G17,yes,129,2256,2385,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,general,G18,no,112,8080,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
C,cyber,C1,yes,120,2236,2356,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,cyber,C2,yes,165,1855,2020,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,cyber,C3,yes,120,1741,1861,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,cyber,C4,yes,129,1875,2004,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,cyber,C5,yes,120,2111,2231,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,cyber,C6,yes,291,1549,1840,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,cyber,C7,yes,127,2939,3066,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,cyber,C8,yes,110,6878,6988,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,cyber,C9,no,106,8086,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
C,cyber,C10,yes,116,6216,6332,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,cyber,C11,yes,79,1900,1979,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,cyber,C12,yes,107,1539,1646,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,cyber,C13,yes,83,3346,3429,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,cyber,C14,yes,85,1284,1369,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
C,general,G1,yes,91,2032,2123,no,D-NOT-COMPUTABLE,no,yes,formal-d-supplement
C,general,G8,yes,87,829,916,no,D-NOT-COMPUTABLE,no,yes,formal-d-supplement
C,general,G10,yes,118,1080,1198,no,D-NOT-COMPUTABLE,no,yes,formal-d-supplement
D,general,G2,yes,86,3356,3442,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,general,G3,yes,109,760,869,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,general,G4,yes,135,5030,5165,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,general,G5,yes,117,6106,6223,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,general,G6,no,77,8115,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
D,general,G7,yes,138,1599,1737,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,general,G9,yes,102,8090,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
D,general,G11,yes,90,1638,1728,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,general,G12,yes,80,2354,2434,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,general,G13,yes,77,1649,1726,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,general,G14,yes,70,2402,2472,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,general,G15,yes,95,2208,2303,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,general,G16,yes,81,7959,8040,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,general,G17,yes,122,3893,4015,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,general,G18,no,104,8088,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
D,cyber,C1,yes,106,1429,1535,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,cyber,C2,no,151,8041,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
D,cyber,C3,yes,113,3582,3695,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,cyber,C4,yes,117,7458,7575,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,cyber,C5,yes,112,5196,5308,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,cyber,C6,yes,273,4288,4561,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,cyber,C7,no,119,8073,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
D,cyber,C8,no,100,8092,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
D,cyber,C9,no,99,8093,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
D,cyber,C10,yes,111,1635,1746,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,cyber,C11,no,74,8118,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
D,cyber,C12,yes,102,3904,4006,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,cyber,C13,yes,76,3505,3581,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,cyber,C14,yes,81,2830,2911,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
D,general,G1,yes,85,2693,2778,no,D-NOT-COMPUTABLE,no,yes,formal-d-supplement
D,general,G8,yes,77,1168,1245,no,D-NOT-COMPUTABLE,no,yes,formal-d-supplement
D,general,G10,yes,110,515,625,no,D-NOT-COMPUTABLE,no,yes,formal-d-supplement
E,general,G2,yes,85,1900,1985,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
E,general,G3,yes,108,363,471,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
E,general,G4,yes,134,1232,1366,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
E,general,G5,no,116,8076,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
E,general,G6,yes,76,1472,1548,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
E,general,G7,no,137,8055,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
E,general,G9,no,101,8091,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
E,general,G11,yes,89,4408,4497,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
E,general,G12,yes,79,195,274,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
E,general,G13,yes,76,5136,5212,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
E,general,G14,yes,69,673,742,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
E,general,G15,yes,94,4229,4323,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
E,general,G16,no,80,8112,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
E,general,G17,no,121,8071,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
E,general,G18,no,103,8089,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
E,cyber,C1,no,105,8087,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
E,cyber,C2,no,150,8042,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
E,cyber,C3,no,112,8080,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
E,cyber,C4,no,116,8076,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
E,cyber,C5,no,111,8081,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
E,cyber,C6,no,272,7920,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
E,cyber,C7,yes,118,8074,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
E,cyber,C8,no,99,8093,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
E,cyber,C9,yes,98,2545,2643,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
E,cyber,C10,no,110,8082,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
E,cyber,C11,no,73,8119,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
E,cyber,C12,yes,101,4653,4754,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
E,cyber,C13,no,75,8117,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
E,cyber,C14,no,80,8112,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
E,general,G1,yes,84,856,940,no,D-NOT-COMPUTABLE,no,yes,formal-d-supplement
E,general,G8,yes,76,723,799,no,D-NOT-COMPUTABLE,no,yes,formal-d-supplement
E,general,G10,yes,109,401,510,no,D-NOT-COMPUTABLE,no,yes,formal-d-supplement
F,general,G2,yes,86,7749,7835,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
F,general,G3,no,109,8083,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
F,general,G4,no,135,8057,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
F,general,G5,yes,117,6672,6789,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
F,general,G6,no,77,8115,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
F,general,G7,no,138,8054,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
F,general,G9,no,102,8090,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
F,general,G11,no,90,8102,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
F,general,G12,yes,80,5524,5604,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
F,general,G13,no,77,8115,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
F,general,G14,yes,70,4157,4227,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
F,general,G15,no,95,8097,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
F,general,G16,yes,81,2757,2838,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
F,general,G17,no,122,8070,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
F,general,G18,yes,104,8088,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
F,cyber,C1,yes,106,4220,4326,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
F,cyber,C2,yes,151,1691,1842,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
F,cyber,C3,no,113,8079,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
F,cyber,C4,no,117,8075,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
F,cyber,C5,yes,112,5884,5996,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
F,cyber,C6,yes,273,5929,6202,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
F,cyber,C7,no,119,8073,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
F,cyber,C8,yes,100,5858,5958,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
F,cyber,C9,no,99,8093,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
F,cyber,C10,no,111,8081,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
F,cyber,C11,no,74,8118,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
F,cyber,C12,no,102,8090,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
F,cyber,C13,yes,76,5118,5194,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
F,cyber,C14,yes,81,5413,5494,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
F,general,G1,yes,85,5156,5241,no,D-NOT-COMPUTABLE,no,yes,formal-d-supplement
F,general,G8,yes,77,542,619,no,D-NOT-COMPUTABLE,no,yes,formal-d-supplement
F,general,G10,yes,110,1349,1459,no,D-NOT-COMPUTABLE,no,yes,formal-d-supplement
